"clinic_name","doctify_profile_url","website_url","location","specialty_tags","specialist_count","review_count","contact_email","phone","doctify_about","cqc_location_id","cqc_registered_manager","cqc_nominated_individual","cqc_match_confidence","decision_maker_email","decision_maker_name_matched","decision_maker_email_source","decision_maker_email_confidence","decision_maker_email_verified","doctify_email","doctify_specialist_slug","clinic_summary","relevant_services","key_people","code_score","salutation_name","judge_approved","judge_reason","auto_send_eligible","gmail_draft_id","fit_score","fit_reason","best_sales_angle","possible_objection","filter_reason","tailored_line","suggested_subject","suggested_email_body","status","error","email_sent_date","email_thread_id","followup_draft_id","followup_status"
"W1 Healthcare","https://www.doctify.com/uk/practice/w1-healthcare","","London, W14 8EZ","Cardiology; General Practice (GP); Respiratory Medicine","","37","","","","1-10775555260","Mr Stephen Kirwin","Dr Syed Yamir Ahsan","exact","","","","","","","NOT_FOUND","","","","","Dr Syed Yamir Ahsan","","","","","","","","","","","","","unknown","","","","",""
"Better - City","https://www.doctify.com/uk/practice/better-city","","London, EC2M 4RB","Holistic Therapy; Physiotherapy","","6","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Medefer","https://www.doctify.com/uk/practice/medefer","","","","","0","","","","1-19886374180","Mr Anthony David Boness","Dr Bahman Nedjat-Shokouhi","exact","","","","","","","NOT_FOUND","","","","","Dr Bahman Nedjat-Shokouhi","","","","","","","","","","","","","unknown","","","","",""
"The Physicians’ Clinic at The Wellington Hospital","https://www.doctify.com/uk/practice/the-physicians-clinic-at-the-wellington-hospital","","London, NW87JA","Cardiology; Endocrinology & Diabetes; Renal Medicine (Nephrology)","","0","","","","1-3758794199","Mr William David Pressley","Mr John Reay","fuzzy","","","","","","","NOT_FOUND","","","","","Mr John Reay","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"Futuristic Health Clinic","https://www.doctify.com/uk/practice/futuristic-health-clinic","","South Humberside, DN17 3SN","Dermatology; General Dermatology; Orthopaedic Surgery; Physical Therapy; Physiotherapy; Psychiatry; Psychology; Urology","","0","","","","1-20394809914","Dr Mohammed Salim Modan","Dr Mohammed Salim Modan","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Mohammed Salim Modan","","","","","","","","","","","","","unknown","","","","",""
"Grove Park Terrace Surgery","https://www.doctify.com/uk/practice/grove-park-terrace-surgery","","London, W4 3JL","General Practice (GP); Health Screening; Sexual & Reproductive Health","","0","","","","1-503800891","Dr Glennis Williams","","exact","","","","","","","NOT_FOUND","","","","","Dr Glennis Williams","","","","","","","","","","","","","unknown","","","","",""
"Medical Rehabilitation","https://www.doctify.com/uk/practice/medical-rehabilitation","","London, W1G 7HD","Neuromodulation; Pain Management; Psychotherapy","","2","","","","1-3865842946","Mrs Regina Ekaete Akinlabi","Mrs Regina Ekaete Akinlabi","fuzzy","","","","","","","NOT_FOUND","","","","","Mrs Regina Ekaete Akinlabi","","","","","","","","","","","","","unknown","","","","",""
"UK Vein Clinic - Wimbledon","https://www.doctify.com/uk/practice/uk-vein-clinic-wimbledon","","London, SW20 0LW","Vascular Surgery","","8","","","","1-14476283859","Dr Peter Alastair Finigan","Dr Peter Alastair Finigan","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Peter Alastair Finigan","","","","","","","","","","","","","unknown","","","","",""
"Baker Street Medical Centre","https://www.doctify.com/uk/practice/rood-lane-medical-group-5","","London, W1U 8EW","General Physiotherapy; General Practice (GP); Health Screening; Physiotherapy","","0","","","","1-946333843","Mr Paul Sanford","Mr Neil Anthony Buckley","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Neil Anthony Buckley","","","","","","","","","","","","","unknown","","","","",""
"The Shard Outpatients","https://www.doctify.com/uk/practice/roodlane-medical-the-shard-clinic","","London, SE1 9BS","General Practice (GP); Health Screening","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The Harper Clinic","https://www.doctify.com/uk/practice/the-harper-clinic","","London, W1G 8QH","General Practice (GP); Lifestyle Medicine; Women's Health","","45","","","","1-6847789756","Dr Shahzadi Bano Harper","Dr Shahzadi Bano Harper","exact","","","","","","","NOT_FOUND","","","","","Dr Shahzadi Bano Harper","","","","","","","","","","","","","unknown","","","","",""
"Harmon","https://www.doctify.com/uk/practice/harmon","","London, W1F 0DQ","General Practice (GP) (Video Consultation); Men's Health","","14","","","","1-12414467708","Ms Awatif Mandour","Ms Awatif Mandour","fuzzy","","","","","","","NOT_FOUND","","","","","Ms Awatif Mandour","","","","","","","","","","","","","unknown","","","","",""
"Thriva Health","https://www.doctify.com/uk/practice/thriva","","London, EC1V 9BP","Lifestyle Medicine; Blood Tests; Diagnostics & Testing; Functional Medicine; General Practice (GP); Health Screening; Holistic Therapy; Home Testing; Integrative Medicine; Men's Health; Women's Health","","16","","","","1-20632646366","Dr Vishal Shah","Mr Hamish Grierson","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Hamish Grierson","","","","","","","","","","","","","unknown","","","","",""
"Queen Anne Street Medical Centre","https://www.doctify.com/uk/practice/queen-anne-street-medical-centre","","London, W1G 8EJ","Andrology; Breast Surgery; Cataract Surgery; Clinical Oncology; Cosmetic Plastic Surgery; Gastroenterology; General Urology; Glaucoma; Gynaecology; Hand Surgery; Obstetrics; Obstetrics & Gynaecology; Oncology; Ophthalmology; Plastic Surgery; Podiatry; Renal Medicine (Nephrology); Respiratory Medicine; Urology","","35","","","","1-1067442671","Miss Margaret Mary Da Costa","Miss Margaret Mary Da Costa","fuzzy","","","","","","","NOT_FOUND","","","","","Miss Margaret Mary Da Costa","","","","","","","","","","","","","unknown","","","","",""
"Jorja Healthcare","https://www.doctify.com/uk/practice/jorja-healthcare","","London, W2 6LG","Cosmetic (Aesthetic) Medicine; General Practice (GP); General Practice (GP) (Video Consultation); Hip Surgery; Imaging (Scans); Knee Surgery; Medical Weight Loss; Nursing; Orthopaedic Surgery; Paediatrics; Pain Management; Physiotherapy; Podiatry; Primary Care; Radiology","","35","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Geno Health Clinic","https://www.doctify.com/uk/practice/geno-health-clinic","","London, EC4A 2DQ","Acupuncture; Audiology; Clinical Psychology; Dermatology; Diagnostics & Testing; Emergency Medicine; Fertility Medicine; General Practice (GP); General Practice (GP) (Video Consultation); Holistic Therapy; Immunology; Obstetrics & Gynaecology; Paediatric Psychiatry; Paediatrics; Psychology; Sexual & Reproductive Health; Ultrasonography; Urology","","7","","","","1-19464014335","Lucita Lo Yuen","Dr Hannah Ming Rui He","exact","","","","","","","NOT_FOUND","","","","","Dr Hannah Ming Rui He","","","","","","","","","","","","","unknown","","","","",""
"Alternaleaf","https://www.doctify.com/uk/practice/alternaleaf","","London, EC1V 2NX","Neurology; Pain Management; Psychiatry","","32","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Melody Mackeown Nutrition","https://www.doctify.com/uk/practice/melody-mackeown-nutrition","","London, SW15","Inflammatory Bowel Diseases (IBD) such as ulcerative Colitis or Crohn's Disease; Diagnostics & Testing; Functional Medicine; Gastroenterology; General (Internal) Medicine; Holistic Therapy; Irritable Bowel Syndrome (IBS); Lifestyle Medicine; Nutrition; Nutrition & Diet; Nutritionist","","1","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The London Welbeck Hospital","https://www.doctify.com/uk/practice/london-welbeck-hospital","","London, W1G 8EN","Breast Surgery; Cosmetic (Aesthetic) Medicine; Cosmetic Plastic Surgery; Facial Cosmetic & Reconstructive Surgery; Plastic Surgery","","16","","","","1-114202293","Miss Shady Tehrani Moghadam","Mrs Nazi Ghanadian","exact","","","","","","","NOT_FOUND","","","","","Mrs Nazi Ghanadian","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"The Nine Clinic : Harley Street","https://www.doctify.com/uk/practice/the-nine-clinic-harleystreet","","London, W1G 7HJ","Health Screening; General Practice (GP); Men's Health; Women's Health","","10","","","","1-1088923354","Miss Katarzyna Bobowska","Ms Deborah Devine","fuzzy","","","","","","","NOT_FOUND","","","","","Ms Deborah Devine","","","","","","","","","","","","","unknown","","","","",""
"The Nine Clinic : Battersea & Nine Elms","https://www.doctify.com/uk/practice/the-nine-clinic-battersea-nine-elms","","London, SW11 7AD","General Practice (GP); Health Screening; Men's Health; Women's Health","","6","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Olympia Pharmacy","https://www.doctify.com/uk/practice/olympia-pharmacy","","London, E15 2NH","Allergy Medicine; Dermatology; Medical Weight Loss; Pharmacy; Sexual & Reproductive Health; Travel Medicine","","36","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The Nine Clinic : Sloane Square","https://www.doctify.com/uk/practice/the-nine-clinic-sloane-square","","London, SW1W 8BJ","General Practice (GP); Health Screening; Men's Health; Women's Health","","1","","","","1-9001524305","Dr Victoria Jane Owen","Dr Victoria Jane Owen","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Victoria Jane Owen","","","","","","","","","","","","","unknown","","","","",""
"EgoDent Dental and Medical Clinic | Stanmore","https://www.doctify.com/uk/practice/egodent-dental-and-medical-services","","London, HA7 1ER","Dentistry","","84","","","","1-10164693542","Dr Ancuta Tiplic","Dr Ancuta Tiplic","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Ancuta Tiplic","","","","","","","","","","","","","unknown","","","","",""
"SameDayDoctor - Canary Wharf","https://www.doctify.com/uk/practice/samedaydoctor---canary-wharf","","London, E14 9YX","Blood Tests; Diagnostics & Testing; Sports & Exercise Medicine","","140","","","","1-23411920415","Dr Gurpreet Kaur Gill","Dr Gurpreet Kaur Gill","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Gurpreet Kaur Gill","","","","","","","","","","","","","unknown","","","","",""
"The London Wellness Centre Canary Wharf","https://www.doctify.com/uk/practice/the-london-wellness-centre-canary-wharf","","London, E14 4AF","Health and Social Care; Holistic Therapy; Osteopathy; Physiotherapy","","10","","","","1-13038295800","Mrs Athena Diane Jones","Mrs Claire Louise Amer","fuzzy","","","","","","","NOT_FOUND","","","","","Mrs Claire Louise Amer","","","","","","","","","","","","","unknown","","","","",""
"The Nutritional Therapy Clinic","https://www.doctify.com/uk/practice/the-nutritional-therapy-clinic","","London, W1U3PD","Dietetics; Holistic Therapy; Irritable Bowel Syndrome (IBS); Nutrition; Nutrition & Diet; Nutritionist","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Q Clinic by Q Healthcare","https://www.doctify.com/uk/practice/q-clinic","","London, W1G 6BG","Obstetrics & Gynaecology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Physiomove London","https://www.doctify.com/uk/practice/physiomove-london","","London, W1W 6HL","Acupuncture; General Physiotherapy; Hand Therapy; Health and Social Care; Holistic Therapy; Obstetrics & Gynaecology; Pain Management; Physiotherapy; Sports & Exercise Medicine; Sports Injury; Sports Rehabilitation; Sports Therapy","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Marylebone Diagnostic Centre","https://www.doctify.com/uk/practice/marylebone-diagnostic-centre","","London, W1U 6RD","Allergy Medicine; Andrology; Blood Tests; Cardiology; Dermatology; Diabetes; Diagnostics & Testing; Endocrinology; Endocrinology & Diabetes; Fertility Medicine; Gastroenterology; General (Internal) Medicine; General Practice (GP); Gynaecology; Haematology; Health Screening; Immunology; Infectious Diseases; Microbiology and Virology; Obstetrics & Gynaecology; Sexual & Reproductive Health; Urology","","0","","","","1-18728729233","Mr Omar Oladapo Sanni","Mr Tharb Faisl","exact","","","","","","","NOT_FOUND","","","","","Mr Tharb Faisl","","","","","","","","","","","","","unknown","","","","",""
"Moore Medical Practice","https://www.doctify.com/uk/practice/moore-medical-practice","","London, SW3 5AW","Acupuncture; Blood Tests; Covid-19 Testing; Dermatology; Diagnostics & Testing; Ear Care; General Practice (GP); Health Coaching; Health Screening; Lifestyle Medicine; Medical Weight Loss; Men's Health; Musculoskeletal Medicine; Nutrition; Nutrition & Diet; Nutritionist; Obstetric Medicine; Primary Care; Sexual & Reproductive Health; Travel Medicine; Weight Loss & Bariatric Surgery; Women's Health","","0","","","","1-8850448457","Dr Simon Patrick Giles Moore","Dr Simon Patrick Giles Moore","exact","","","","","","","NOT_FOUND","","","","","Dr Simon Patrick Giles Moore","","","","","","","","","","","","","unknown","","","","",""
"Glebe Road Surgery","https://www.doctify.com/uk/practice/glebe-road-surgery","","London, SW13 0DR","General Practice (GP); Health Coaching; Health Screening","","0","","","","1-572554545","Dr Jonathan Botting","","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Jonathan Botting","","","","","","","","","","","","","unknown","","","","",""
"Harley Fitzrovia Health","https://www.doctify.com/uk/practice/harley-fitzrovia-health-limited","","Woodford Green, IG8 9FB","Adult Ear, Nose & Throat Surgery; Blood Tests; Cardiology; Dermatology; Diabetes; Diagnostics & Testing; Ear Nose & Throat Surgery (ENT/Otolaryngology); Endocrinology & Diabetes; General Practice (GP); Gynaecology; Health and Social Care; Holistic Therapy; Imaging (Scans); Nursing; Obstetrics & Gynaecology; Oral & Maxillofacial Surgery; Osteopathy; Paediatrics; Physiotherapy; Radiology; Renal Medicine (Nephrology); Sonography; Ultrasonography; Urology","","0","","","","1-10977491165","Miss Joanne Andrea Marlene Skyers","Dr Ann Baldwin","exact","","","","","","","NOT_FOUND","","","","","Dr Ann Baldwin","","","","","","","","","","","","","unknown","","","","",""
"James O'Riordan Medical Centre","https://www.doctify.com/uk/practice/james-oriordan-medical-centre","","Sutton, SM3 9HE","General Practice (GP)","","0","","","","1-547512809","Dr Jerome Jephcott","","exact","","","","","","","NOT_FOUND","","","","","Dr Jerome Jephcott","","","","","","","","","","","","","unknown","","","","",""
"2nd Floor Consulting Rooms","https://www.doctify.com/uk/practice/2nd-floor-consulting-rooms","","London, W1W 5QN","Gynaecology; Cardiology; Dental Care; Dermatology; Endocrinology; Endocrinology & Diabetes; Gastroenterology; General (Internal) Medicine; General Practice (GP); Obstetrics & Gynaecology; Paediatric Respiratory; Paediatric Surgery; Paediatrics; Rheumatology; Sports & Exercise Medicine; Urology","","51","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
